"adjusted_rnx","alpha","beta","fixed_perp","id","k","laplacian","laplacian_celltype","method","name"
"0.0335372393440918","1e-30","undefined","undefined","7goxj1na","1","0.3064516129032258","0.04838709677419355","fastctsne","fearless-sweep-12"
"0.04758711865949291","1e-30","undefined","undefined","7goxj1na","2","0.3071236559139785","0.043682795698924734","fastctsne","fearless-sweep-12"
"0.06930641639667559","1e-30","undefined","undefined","7goxj1na","4","0.3155241935483871","0.04536290322580645","fastctsne","fearless-sweep-12"
"0.10502987680762003","1e-30","undefined","undefined","7goxj1na","8","0.31938844086021506","0.04620295698924731","fastctsne","fearless-sweep-12"
"0.1454190167612669","1e-30","undefined","undefined","7goxj1na","16","0.3229166666666667","0.04578293010752688","fastctsne","fearless-sweep-12"
"0.1964278398110507","1e-30","undefined","undefined","7goxj1na","31","0.32717655220256675","0.047433229275060704","fastctsne","fearless-sweep-12"
"0.26372950106398957","1e-30","undefined","undefined","7goxj1na","61","0.332451965450379","0.051934602503084785","fastctsne","fearless-sweep-12"
"0.3401777843224331","1e-30","undefined","undefined","7goxj1na","122","0.345694517891768","0.0588533403842764","fastctsne","fearless-sweep-12"
"0.4222950937623024","1e-30","undefined","undefined","7goxj1na","242","0.3651081933706567","0.06669332622411801","fastctsne","fearless-sweep-12"
"0.49161275185571723","1e-30","undefined","undefined","7goxj1na","481","0.3980143294659424","0.08677039322200612","fastctsne","fearless-sweep-12"
"0.5411442672298721","1e-30","undefined","undefined","7goxj1na","956","0.43775166464210197","0.13301530795878885","fastctsne","fearless-sweep-12"
"0.5370995911585629","1e-30","undefined","undefined","7goxj1na","1900","0.49709535936615734","0.20012308998302208","fastctsne","fearless-sweep-12"
"0.484284932913078","1e-30","undefined","undefined","7goxj1na","3773","0.5423741553596721","0.3854634229058192","fastctsne","fearless-sweep-12"
"0.4437399887376818","1e-30","undefined","undefined","7goxj1na","7495","0.5736505340477881","0.6227603348468872","fastctsne","fearless-sweep-12"
"0","1e-30","undefined","undefined","7goxj1na","14889","0.6130741022857256","0.8020571571469032","fastctsne","fearless-sweep-12"
"0.06445329427467023","1e-30","undefined","true","aca00l01","1","0.2970430107526882","0.04838709677419355","fastctsne","polar-sweep-16"
"0.07514458382177999","1e-30","undefined","true","aca00l01","2","0.30376344086021506","0.049059139784946235","fastctsne","polar-sweep-16"
"0.10392593214645617","1e-30","undefined","true","aca00l01","4","0.2973790322580645","0.05174731182795699","fastctsne","polar-sweep-16"
"0.13949059717847614","1e-30","undefined","true","aca00l01","8","0.2938508064516129","0.04973118279569892","fastctsne","polar-sweep-16"
"0.17930960289049436","1e-30","undefined","true","aca00l01","16","0.2903225806451613","0.051915322580645164","fastctsne","polar-sweep-16"
"0.2237132313546387","1e-30","undefined","true","aca00l01","31","0.2953087062088103","0.0557145334720777","fastctsne","polar-sweep-16"
"0.2788850179751972","1e-30","undefined","true","aca00l01","61","0.3022871496562665","0.061673717609730304","fastctsne","polar-sweep-16"
"0.3422327861726074","1e-30","undefined","true","aca00l01","122","0.31880178036312357","0.0712585933368588","fastctsne","polar-sweep-16"
"0.4133916044818125","1e-30","undefined","true","aca00l01","242","0.344569225984182","0.07938438638585266","fastctsne","polar-sweep-16"
"0.4731693625142717","1e-30","undefined","true","aca00l01","481","0.38238269286656384","0.09899291350904255","fastctsne","polar-sweep-16"
"0.512934913181924","1e-30","undefined","true","aca00l01","956","0.43062632159085795","0.14665440680253747","fastctsne","polar-sweep-16"
"0.49942795889325703","1e-30","undefined","true","aca00l01","1900","0.49643039049235993","0.22602574985851726","fastctsne","polar-sweep-16"
"0.4160063113136319","1e-30","undefined","true","aca00l01","3773","0.5481776288227901","0.4059998318556581","fastctsne","polar-sweep-16"
"0.31448801471057297","1e-30","undefined","true","aca00l01","7495","0.5838707884109119","0.6225072987726584","fastctsne","polar-sweep-16"
"0","1e-30","undefined","true","aca00l01","14889","0.6130741022857256","0.8020571571469032","fastctsne","polar-sweep-16"
"0.04160229715206878","1e-20","undefined","undefined","3cuq1wu3","1","0.32123655913978494","0.04838709677419355","fastctsne","lilac-sweep-11"
"0.050275651846057506","1e-20","undefined","undefined","3cuq1wu3","2","0.3057795698924731","0.0456989247311828","fastctsne","lilac-sweep-11"
