"Name","Sweep","Tags","ctsne.beta","fastctsne.alpha","method","fastctsne.fixed_perp","dataset","adjusted_RNX","jaccard_similarity_mean","jaccard_similarity_median","laplacian_celltype_mean","laplacian_mean","laplacian_median","runtime"
"fearless-sweep-12","pbzxjy2l","fastctsne, pancreas","","1e-30","fastctsne","","pancreas","0.2426987787195468","0.15044345871465117","0.12359550561797752","0.04932413793103449","0.3340137931034483","0.22","22.401931762695312"
"polar-sweep-16","uc90bzmy","fastctsne, pancreas","","1e-30","fastctsne","true","pancreas","0.25939463140938546","0.16197081179598405","0.13636363636363635","0.0591448275862069","0.3001655172413793","0.18","43.92283892631531"
"lilac-sweep-11","pbzxjy2l","fastctsne, pancreas","","1e-20","fastctsne","","pancreas","0.24604334371718817","0.1526490432832476","0.12359550561797752","0.05382068965517242","0.32797241379310343","0.2","22.46047425270081"
"ancient-sweep-15","uc90bzmy","fastctsne, pancreas","","1e-20","fastctsne","true","pancreas","0.26071627402942116","0.16317769257129724","0.13636363636363635","0.05906206896551725","0.3022068965517241","0.18","46.31756782531738"
"upbeat-sweep-14","uc90bzmy","fastctsne, pancreas","","1e-10","fastctsne","true","pancreas","0.28013632885443546","0.1776591923338027","0.14942528735632185","0.05467586206896552","0.28750344827586205","0.16","48.22670888900757"
"worthy-sweep-10","pbzxjy2l","fastctsne, pancreas","","1e-10","fastctsne","","pancreas","0.26052746794084464","0.16427196128408356","0.12359550561797752","0.053324137931034486","0.3144551724137931","0.2","23.926855087280273"
"classic-sweep-13","uc90bzmy","fastctsne, pancreas","","1e-9","fastctsne","true","pancreas","0.282833558691243","0.1806738045435735","0.14942528735632185","0.054262068965517246","0.28063448275862074","0.14","49.504053831100464"
"electric-sweep-9","pbzxjy2l","fastctsne, pancreas","","1e-9","fastctsne","","pancreas","0.2609320524163658","0.1651740787975855","0.12359550561797752","0.05326896551724138","0.3114758620689655","0.18","22.02192974090576"
"unique-sweep-12","uc90bzmy","fastctsne, pancreas","","1e-8","fastctsne","true","pancreas","0.2879852676795454","0.18399469140860752","0.14942528735632185","0.061434482758620686","0.28033103448275865","0.14","48.05300784111023"
"proud-sweep-8","pbzxjy2l","fastctsne, pancreas","","1e-8","fastctsne","","pancreas","0.2651936755585217","0.1676715074840594","0.13636363636363635","0.052000000000000005","0.3096551724137931","0.18","21.75678062438965"
"vivid-sweep-11","uc90bzmy","fastctsne, pancreas","","1e-7","fastctsne","true","pancreas","0.29200414013638865","0.18678491481851903","0.14942528735632185","0.058372413793103456","0.2784551724137931","0.14","45.022422313690186"
"playful-sweep-7","pbzxjy2l","fastctsne, pancreas","","1e-7","fastctsne","","pancreas","0.26163333217393575","0.16514351721128914","0.12359550561797752","0.05048275862068965","0.3083862068965517","0.18","25.034789323806763"
