"adjusted_rnx","alpha","beta","id","k","laplacian","laplacian_celltype","method","name"
"0.06982298393419721","undefined","1e-30","xtdit0el","1","0.6077611940298507","0.17194029850746267","ctsne","deep-sweep-17"
"0.09009493914779741","undefined","1e-30","xtdit0el","2","0.6146268656716418","0.1755223880597015","ctsne","deep-sweep-17"
"0.10466923019005447","undefined","1e-30","xtdit0el","4","0.6201492537313433","0.17865671641791045","ctsne","deep-sweep-17"
"0.13276870563193902","undefined","1e-30","xtdit0el","9","0.6248092868988392","0.18023217247097845","ctsne","deep-sweep-17"
"0.170728867236165","undefined","1e-30","xtdit0el","20","0.64","0.18758208955223882","ctsne","deep-sweep-17"
"0.2073882916281609","undefined","1e-30","xtdit0el","41","0.6521004732435384","0.19346195850018202","ctsne","deep-sweep-17"
"0.251141786942997","undefined","1e-30","xtdit0el","87","0.6694595985589294","0.20275175844913365","ctsne","deep-sweep-17"
"0.29892590052675655","undefined","1e-30","xtdit0el","183","0.6947492047956937","0.21844547753038088","ctsne","deep-sweep-17"
"0.3430414303412357","undefined","1e-30","xtdit0el","385","0.7270261678619887","0.24518705175421593","ctsne","deep-sweep-17"
"0.37794136704590436","undefined","1e-30","xtdit0el","811","0.7654342344995123","0.28838102950107664","ctsne","deep-sweep-17"
"0.4075747793952086","undefined","1e-30","xtdit0el","1707","0.796610270265544","0.349316685465467","ctsne","deep-sweep-17"
"0.4560326730561968","undefined","1e-30","xtdit0el","3593","0.817822382659483","0.42284242577815073","ctsne","deep-sweep-17"
"0.47053384961025635","undefined","1e-30","xtdit0el","7562","0.8323928361366929","0.525790223702961","ctsne","deep-sweep-17"
"0.4473053610803385","undefined","1e-30","xtdit0el","15918","0.847482564561287","0.6662059097651584","ctsne","deep-sweep-17"
"0","undefined","1e-30","xtdit0el","33505","0.8411287296317833","0.8269466405476131","ctsne","deep-sweep-17"
"0.08176363882592767","undefined","0.0001","bgjk13dg","1","0.6053731343283583","0.1647761194029851","ctsne","amber-sweep-9"
